# Cola de tareas para DOMINEUM - una línea por tarea
# Formato: ID|TIPO|NOMBRE|RUTA_DOCX|INSTRUCCION
# TIPO: estado | pais | consolidado
# Las tareas se procesan en orden, de arriba hacia abajo

6|estado|Guanajuato|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM GUANAJUATO/DOMINEUM GUANAJUATO - Analisis de Viabilidad.docx|Investiga Guanajuato (León, Irapuato) como plaza para DOMINEUM, un holding de intermediación inmobiliaria en distress. Es candidata para la quinta plaza nacional, compite vs Puebla. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Primero crea la carpeta /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM GUANAJUATO/ si no existe. Investiga estos 4 bloques: (1) Volumen de mercado: cartera vencida hipotecaria CNBV, INFONAVIT/FOVISSSTE morosidad, precios promedio vivienda SHF, propiedades adjudicadas por bancos. (2) Marco legal local: código civil estatal cesión de derechos, RPP tiempos y costos, aranceles notariales e ISAI, JCL y mediación. (3) Competencia: despachos de recuperación inmobiliaria, intermediarios de distress, sofisticación del mercado. (4) Entorno: perfil de abogados inmobiliarios, costos de oficina, salarios abogados junior. Genera un documento .docx profesional con: resumen ejecutivo, mercado en distress, marco legal (diferencias vs Yucatán), competencia, perfil del socio ideal, forma de entrada recomendada, economía por operación ajustada, infraestructura y costos, riesgos + mitigaciones, recomendación final. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM GUANAJUATO/DOMINEUM GUANAJUATO - Analisis de Viabilidad.docx

7|pais|Perú|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM PERU/GDP Viabilidad Peru.docx|Investiga Perú como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM PERU/GDP Viabilidad Peru.docx

8|pais|República Dominicana|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM REPUBLICA DOMINICANA/GDP Viabilidad Republica Dominicana.docx|Investiga República Dominicana como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM REPUBLICA DOMINICANA/GDP Viabilidad Republica Dominicana.docx

9|pais|Ecuador|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ECUADOR/GDP Viabilidad Ecuador.docx|Investiga Ecuador como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. Economía dolarizada (sin riesgo cambiario). GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ECUADOR/GDP Viabilidad Ecuador.docx

10|pais|Argentina|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ARGENTINA/GDP Viabilidad Argentina.docx|Investiga Argentina como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. Crisis económica genera volumen masivo de distress pero hay caos cambiario. GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ARGENTINA/GDP Viabilidad Argentina.docx

11|pais|España|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ESPAÑA/GDP Viabilidad España.docx|Investiga España como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. Mercado post-crisis enorme pero regulación europea más estricta. GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM ESPAÑA/GDP Viabilidad España.docx

12|pais|Brasil|/Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM BRASIL/GDP Viabilidad Brasil.docx|Investiga Brasil como país para expandir GDP (Global Distress Properties), un modelo de intermediación inmobiliaria en distress. Mercado gigante pero idioma diferente y sistema legal complejo. GDP funciona donde existen 5 condiciones: (1) Alto volumen de hipotecas morosas, (2) Marco legal que permita cesión de derechos, (3) Mecanismo para resolver gravámenes (quita, insolvencia, compra de cartera), (4) Protección posesoria vía arrendamiento, (5) Bancos ineficientes en recuperación. IMPORTANTE: NO uses subagentes para web search, haz TODAS las búsquedas tú directamente. Investiga: mercado hipotecario y morosidad, marco legal (cesión de derechos, insolvencia, arrendamiento), competencia en distress inmobiliario, perfil del socio abogado ideal, forma de entrada, economía por operación estimada, riesgos país. Genera .docx profesional con análisis completo evaluando las 5 condiciones con semáforo (verde/amarillo/rojo). Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM INTERNACIONAL/DOMINEUM BRASIL/GDP Viabilidad Brasil.docx

13|consolidado|Nacional|/Users/admin/Google Drive/Mi unidad/DOMINEUM/ESTRUCTURA DOMINEUM/DOMINEUM Analisis Expansion Nacional.docx|TAREA FINAL - Solo ejecutar cuando las tareas 1-6 estén completas. Lee todos los documentos de viabilidad por estado que se generaron en /Users/admin/Google Drive/Mi unidad/DOMINEUM/DOMINEUM JALISCO/, DOMINEUM NUEVO LEON/, DOMINEUM QUERETARO/, DOMINEUM EDOMEX/, DOMINEUM PUEBLA/, DOMINEUM GUANAJUATO/. Con esa información genera el documento consolidado multi-estado con: metodología y criterios, tabla comparativa 5 estados x 7 dimensiones (Volumen 25%, Marco legal 20%, Facilidad socio 15%, Competencia baja 15%, Utilidad por operación 10%, Costo de entrada 10%, Riesgo político 5%), fichas resumen por estado, matriz de decisión con scoring numérico, plan de expansión recomendado con secuencia y timeline, comparativo vs Blueprint V2, próximos pasos 30 y 90 días. Elige la quinta plaza entre Puebla y Guanajuato basándote en los análisis. Guarda en: /Users/admin/Google Drive/Mi unidad/DOMINEUM/ESTRUCTURA DOMINEUM/DOMINEUM Analisis Expansion Nacional.docx
